   0.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.5000000e+01   0.0000000e+00   0.0000000e+00
   1.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   6.2025923e-45  -1.8639152e-49   9.1534106e-25   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   9.9241477e-44  -5.9645287e-48   7.3227285e-24   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   3.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   5.0240997e-43  -4.5293139e-47   2.4714208e-23   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   4.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.5878636e-42  -1.9086491e-46   5.8581827e-23   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   5.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   3.8766201e-42  -5.8247349e-46   1.1441763e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   6.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   8.0385592e-42  -1.4493804e-45   1.9771366e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   7.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.4892423e-41  -3.1326821e-45   3.1396196e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   8.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   2.5405816e-41  -6.1076768e-45   4.6865458e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   9.0000000e+00   5.5506850e+01   3.7490000e+01   1.6900000e+02   4.0695203e-41  -1.1006232e-44   6.6728356e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.0000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   6.2025914e-41  -1.8639150e-44   9.1534093e-22   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.1000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   9.0812138e-41  -3.0018536e-44   1.2183187e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.2000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.2861693e-40  -4.6380166e-44   1.5817090e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.3000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.7715220e-40  -6.9205851e-44   2.0110038e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.4000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   2.3827872e-40  -1.0024581e-43   2.5116952e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.5000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   3.1400614e-40  -1.4154102e-43   3.0892751e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.6000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   4.0649294e-40  -1.9544561e-43   3.7492356e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.7000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   5.1804650e-40  -2.6464920e-43   4.4970688e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.8000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   6.5112303e-40  -3.5219929e-43   5.3382666e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   1.9000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   8.0832762e-40  -4.6152362e-43   6.2783211e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.0000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   9.9241421e-40  -5.9645253e-43   7.3227243e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.1000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.2062856e-39  -7.6124132e-43   8.4769683e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.2000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.4529935e-39  -9.6059265e-43   9.7465449e-21   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.3000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   1.7357383e-39  -1.1996789e-42   1.1136946e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.4000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   2.0578696e-39  -1.4841644e-42   1.2653664e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.5000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   2.4228855e-39  -1.8202281e-42   1.4302191e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.6000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   2.8344331e-39  -2.2145856e-42   1.6088019e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.7000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   3.2963084e-39  -2.6745118e-42   1.8016639e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.8000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   3.8124563e-39  -3.2078631e-42   2.0093545e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   2.9000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   4.3869704e-39  -3.8230997e-42   2.2324226e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
   3.0000000e+01   5.5506850e+01   3.7490000e+01   1.6900000e+02   5.0240933e-39  -4.5293082e-42   2.4714177e-20   8.5000000e+01  -0.0000000e+00   0.0000000e+00
